Alk-N,Aspect,AP,Elevation,AK,TN,TP,Slope,SK,pH,PET,TMP,PRE,NDVI,AP/TP,AK/SK,PET/PRE,TN/TP,TN/Alk-N,Elevation/PET,TMP/PET,Elevation/TMP,SOM
64.44678846,347.447,12.34359172,664,143.6910784,0.213,0.447,42.883,778.7418364,8.275,1187.6,11.5,508.8,1288,25.56105332,0.182859454,2.334119497,0.476510067,0.014305545,0.559110812,0.009683395,57.73913043,2.33
64.44678846,211.381,12.34359172,351,143.6910784,0.463,0.527,2.172,778.7418364,8.025,1237.5,13.692,592.9,1719,25.56105332,0.182859454,2.087198516,0.878557875,0.014305545,0.283636364,0.011064242,25.63540754,5.3
64.44678846,0,12.34359172,351,143.6910784,0.486,0.426,4.627,778.7418364,8.92,1229.3,13.75,597.9,1287,25.56105332,0.182859454,2.056029436,1.14084507,0.014305545,0.285528349,0.011185227,25.52727273,4.52
64.44678846,109.811,12.34359172,1116,143.6910784,0.497,0.54,23.261,778.7418364,8.2,1115.6,9.633,527.2,1664,25.56105332,0.182859454,2.116084977,0.92037037,0.014305545,1.000358551,0.008634815,115.8517596,6.8
64.44678846,217.456,12.34359172,1080,143.6910784,0.398,0.512,14.847,778.7418364,8.1685,1128.9,10.367,539.5,1859,25.56105332,0.182859454,2.092493049,0.77734375,0.014305545,0.956683497,0.009183276,104.1767146,5.08
64.44678846,162.966,12.34359172,631,143.6910784,0.402,0.284,3.874,778.7418364,8.56,1182.3,12.4,585.3,2231,25.56105332,0.182859454,2.019989749,1.415492958,0.014305545,0.533705489,0.010488032,50.88709677,5.22
64.44678846,215.219,12.34359172,1051,143.6910784,0.19,0.525,10.111,778.7418364,8.05,1114.3,8.975,469.8,1320,25.56105332,0.182859454,2.371860366,0.361904762,0.014305545,0.943193036,0.008054384,117.1030641,2.88
64.44678846,129.246,12.34359172,567,143.6910784,0.685,0.55,2.929,778.7418364,8.375,1194.5,12.767,578.3,2110,25.56105332,0.182859454,2.065536919,1.245454545,0.014305545,0.474675596,0.010688154,44.41137307,8.8
64.44678846,292.112,12.34359172,439,143.6910784,0.424,0.472,2.463,778.7418364,8.28,1196.1,13.7,591.6,1746,25.56105332,0.182859454,2.021805274,0.898305085,0.014305545,0.367026168,0.011453892,32.04379562,4.7
64.44678846,230.921,12.34359172,499,143.6910784,0.38,0.505,2.94,778.7418364,8.4,1194.8,13.358,588.2,1986,25.56105332,0.182859454,2.031281877,0.752475248,0.014305545,0.41764312,0.011180114,37.3558916,5.3
64.44678846,129.413,12.34359172,576,143.6910784,0.41,0.996,1.461,778.7418364,8.171,1187.5,13.117,629.2,2101,25.56105332,0.182859454,1.887317228,0.411646586,0.014305545,0.485052632,0.011045895,43.91247999,6.2
64.44678846,112.105,12.34359172,486,143.6910784,0.415,0.39,2.463,778.7418364,8.3,1202.5,13.525,587.6,2355,25.56105332,0.182859454,2.046460177,1.064102564,0.014305545,0.404158004,0.011247401,35.93345656,8.18
64.44678846,74.72,12.34359172,348,143.6910784,0.54,0.623,3.515,778.7418364,8.1,1237.5,13.917,595.1,632,25.56105332,0.182859454,2.07948244,0.866773676,0.014305545,0.281212121,0.011246061,25.00538909,7.25
64.44678846,78.779,12.34359172,905,143.6910784,0.35,0.582,9.446,778.7418364,8.26,1141.2,9.933,490.9,1388,25.56105332,0.182859454,2.324709717,0.60137457,0.014305545,0.793024886,0.008703996,91.11043995,5.1
64.44678846,0,12.34359172,533,143.6910784,0.43,0.19,0.927,778.7418364,8,1214.1,13,592,2040,25.56105332,0.182859454,2.050844595,2.263157895,0.014305545,0.439008319,0.01070752,41,2.17
64.44678846,0,12.34359172,396,143.6910784,0.434,0.61,0.927,778.7418364,9.14,1230.9,13.35,575,1990,25.56105332,0.182859454,2.140695652,0.71147541,0.014305545,0.321715818,0.010845723,29.66292135,5.36
64.44678846,118.657,12.34359172,356,143.6910784,0.377,0.52,3.862,778.7418364,8.65,1228.2,14.092,608.6,632,25.56105332,0.182859454,2.018074269,0.725,0.014305545,0.289855072,0.011473701,25.26256032,5.13
64.44678846,42.466,12.34359172,776,143.6910784,0.416,1.28,32.472,778.7418364,8.36,1165.2,10.025,482.8,1376,25.56105332,0.182859454,2.413421707,0.325,0.014305545,0.665980089,0.008603673,77.40648379,6.24
64.44678846,56.177,12.34359172,968,143.6910784,0.152,0.594,17.739,778.7418364,8.4,1119.8,9.45,494.9,1358,25.56105332,0.182859454,2.262679329,0.255892256,0.014305545,0.864440079,0.008439007,102.4338624,3.06
64.44678846,242.821,12.34359172,469,143.6910784,0.476,0.926,19.514,778.7418364,8.02,1170.1,13.392,626.7,1763,25.56105332,0.182859454,1.867081538,0.514038877,0.014305545,0.400820443,0.011445176,35.020908,6.66
64.44678846,299.672,12.34359172,1031,143.6910784,0.356,0.652,9.286,778.7418364,8.378,1109.8,9.333,511.2,2110,25.56105332,0.182859454,2.170970266,0.54601227,0.014305545,0.928996216,0.008409623,110.468231,4.76
64.44678846,0,12.34359172,543,143.6910784,0.444,0.554,1.854,778.7418364,8.36,1211.5,12.758,601.6,2187,25.56105332,0.182859454,2.013796543,0.801444043,0.014305545,0.448204705,0.010530747,42.56153002,6.04
64.44678846,230.689,12.34359172,367,143.6910784,0.653,0.523,1.464,778.7418364,8.467,1184.1,14.242,636.4,606,25.56105332,0.182859454,1.86062225,1.248565966,0.014305545,0.309940039,0.0120277,25.76885269,10.27
64.44678846,146.18,12.34359172,521,143.6910784,0.35,0.354,21.291,778.7418364,8.28,1158.3,13.192,635.6,1760,25.56105332,0.182859454,1.822372561,0.988700565,0.014305545,0.449797116,0.011389105,39.4936325,4.74
64.44678846,202.32,12.34359172,532,143.6910784,0.778,0.522,3.005,778.7418364,8.18,1203.6,12.692,588.5,2316,25.56105332,0.182859454,2.04519966,1.490421456,0.014305545,0.442007311,0.010545032,41.91616766,18.1
64.44678846,221.739,12.34359172,1181,143.6910784,0.275,0.587,12.24,778.7418364,8.175,1098.5,8.183,483.7,1466,25.56105332,0.182859454,2.271035766,0.468483816,0.014305545,1.075102412,0.007449249,144.3235977,4.28
